id;nhogar;zona;v2_3;v4;h2_2;hacinam_3;tipoho_2;fexp
1;1;2;2;3;1;2;1;1137
1;2;2;2;3;1;1;2;1137
2;1;3;2;2;2;1;3;359
3;1;2;3;1;2;1;2;398
4;1;1;2;2;2;1;2;1231
5;1;1;2;2;2;1;3;492
6;1;2;2;2;2;1;3;1224
7;1;1;2;3;2;1;3;414
8;1;3;1;1;3;2;1;366
9;1;2;3;1;2;1;2;1145
10;1;1;2;3;3;1;2;752
11;1;2;3;1;2;1;2;302
12;1;1;2;2;2;1;3;625
13;1;3;1;2;3;1;3;138
14;1;2;3;1;2;2;1;521
15;1;3;1;1;3;2;1;256
16;1;2;2;3;3;1;1;484
17;1;2;2;1;2;2;1;1107
18;1;2;2;4;1;1;2;168
19;1;2;2;3;1;1;3;1132
20;1;2;2;1;2;2;3;734
21;1;1;2;3;2;1;3;530
22;1;1;2;3;1;1;2;705
23;1;1;2;2;3;1;2;907
24;1;2;2;2;1;1;2;839
25;1;2;3;1;2;1;2;186
26;1;3;2;2;3;2;3;923
27;1;2;3;1;2;1;2;240
28;1;2;3;1;2;1;2;179
29;1;3;3;1;2;2;1;293
30;1;3;2;3;1;1;1;257
31;1;2;2;3;2;1;1;142
32;1;1;2;3;2;1;3;864
33;1;3;1;1;3;2;1;293
34;1;1;2;3;1;1;2;172
35;1;1;2;3;3;1;3;757
36;1;1;2;1;2;1;2;1108
37;1;1;2;3;2;1;3;513
38;1;1;2;2;2;1;3;473
39;1;1;2;1;2;1;2;956
40;1;1;2;3;2;1;3;83
41;1;2;2;1;2;2;1;145
42;1;2;3;1;2;2;1;549
43;1;3;1;2;2;1;1;757
44;1;2;3;1;2;2;1;150
45;1;3;1;1;2;2;1;312
46;1;3;2;1;3;2;1;330
47;1;2;3;1;2;2;1;418
48;1;3;2;1;3;2;1;294
49;1;2;1;6;2;1;1;2081
50;1;3;1;2;3;2;1;321
51;1;1;2;4;2;1;3;388
52;1;1;2;3;1;1;2;1123
53;1;2;2;3;2;1;3;1017
54;1;1;2;4;2;1;3;499
55;1;1;2;3;2;1;3;768
56;1;2;2;1;2;1;2;599
57;1;1;2;2;2;1;1;607
58;1;2;2;1;2;1;2;761
59;1;1;2;1;2;2;3;426
60;1;1;2;2;2;1;2;574
61;1;2;2;1;2;1;2;968
62;1;1;2;1;2;1;2;802
63;1;2;3;1;2;1;2;214
64;1;2;3;1;2;1;2;203
65;1;2;2;2;2;1;2;1099
66;1;3;1;3;3;1;1;311
67;1;3;1;2;2;1;1;257
68;1;3;3;2;2;1;1;354
69;1;3;1;2;3;2;1;437
70;1;2;2;3;2;1;3;1079
71;1;3;2;2;2;1;1;912
72;1;1;2;2;2;1;1;791
73;1;2;2;2;3;1;2;384
74;1;2;2;2;2;1;3;1343
75;1;1;2;1;2;2;1;84
76;1;1;2;2;2;1;2;818
77;1;1;2;3;1;1;1;886
78;1;1;2;3;2;1;1;835
79;1;1;2;2;2;1;1;797
80;1;1;2;2;2;1;2;704
81;1;1;2;2;2;1;2;845
82;1;3;2;2;3;1;1;551
83;1;3;1;2;3;1;1;294
84;1;2;2;2;2;1;1;442
85;1;3;1;1;3;2;1;311
86;1;2;1;4;3;2;1;744
86;2;2;1;4;3;1;1;744
87;1;2;3;1;2;1;2;170
88;1;3;1;5;1;2;1;408
88;2;3;1;5;1;2;1;408
89;1;1;2;2;2;1;1;645
90;1;1;2;3;2;1;3;461
91;1;2;3;1;2;1;2;1051
92;1;1;2;1;2;2;1;529
93;1;2;2;2;2;1;2;1418
94;1;2;1;2;2;1;1;951
95;1;3;1;5;2;1;3;163
96;1;1;2;3;2;1;2;619
97;1;1;2;2;3;1;2;294
98;1;2;2;2;2;1;1;553
99;1;2;2;2;3;1;2;1425
100;1;2;2;1;2;2;1;1239
101;1;1;2;1;2;1;2;541
102;1;1;2;2;2;1;3;312
103;1;2;2;4;3;1;2;474
104;1;2;2;2;2;1;2;270
105;1;1;2;2;2;1;2;725
106;1;1;2;2;2;1;2;112
107;1;1;2;3;2;1;3;569
108;1;2;3;1;2;1;2;224
109;1;3;3;1;2;2;1;400
110;1;3;1;2;2;1;1;322
111;1;3;2;2;2;1;1;192
112;1;3;2;3;2;1;1;68
113;1;1;3;1;2;1;2;248
114;1;3;1;2;3;2;1;331
115;1;1;2;1;2;2;1;472
116;1;2;1;2;3;1;1;287
117;1;2;1;4;1;1;2;1250
118;1;1;2;4;3;1;1;363
119;1;1;2;1;2;1;2;738
120;1;2;2;2;2;1;1;2033
121;1;2;2;2;2;1;2;1751
122;1;2;3;1;2;1;2;321
123;1;2;3;1;2;1;2;434
124;1;1;2;3;3;1;2;929
125;1;2;2;2;3;1;3;1238
126;1;2;2;1;3;2;1;458
127;1;1;2;3;2;1;3;530
128;1;1;2;1;2;1;2;663
129;1;1;2;2;2;1;1;426
130;1;1;2;3;2;1;3;462
131;1;1;2;1;2;1;2;1106
132;1;1;2;2;2;1;2;670
133;1;1;2;2;2;1;2;921
134;1;1;2;3;2;1;1;430
135;1;2;2;2;1;1;1;287
136;1;3;3;1;2;2;1;302
137;1;2;3;1;2;2;1;302
138;1;2;2;3;2;1;1;414
139;1;3;1;2;3;2;1;339
140;1;3;2;3;2;1;1;621
141;1;1;2;1;2;1;2;730
142;1;3;2;3;2;1;1;176
143;1;3;1;2;2;2;1;293
144;1;1;2;3;2;1;3;382
145;1;1;2;3;2;0;2;729
146;1;3;1;2;3;1;1;302
147;1;2;2;3;2;1;2;1215
148;1;2;2;2;2;1;2;589
149;1;2;3;1;2;1;2;436
150;1;1;2;2;2;1;2;709
151;1;2;2;2;2;1;2;1357
152;1;1;2;2;2;1;2;618
153;1;1;3;1;2;2;1;166
154;1;1;2;3;1;1;3;448
155;1;1;2;2;2;1;2;541
156;1;2;2;2;2;1;2;474
157;1;1;2;1;2;1;2;757
158;1;2;3;1;2;1;2;116
159;1;1;2;2;1;1;2;1155
160;1;3;2;2;1;2;1;77
161;1;2;2;2;3;1;2;1376
162;1;3;2;3;2;1;1;70
163;1;2;2;2;2;1;2;154
164;1;2;1;2;3;1;1;263
165;1;2;2;1;2;1;2;1376
166;1;2;3;1;2;2;1;212
167;1;3;2;3;3;1;1;174
168;1;3;2;3;2;1;1;153
169;1;2;1;2;3;1;1;286
170;1;3;1;2;2;2;1;458
171;1;1;3;1;2;1;2;295
172;1;2;2;1;2;1;2;1440
173;1;3;2;2;2;1;1;737
174;1;2;1;2;3;2;1;328
175;1;3;2;2;2;2;1;148
176;1;2;2;4;1;1;2;2141
177;1;2;2;6;1;1;1;275
178;1;2;2;2;2;2;1;888
179;1;2;2;2;2;1;1;1686
180;1;3;2;2;2;1;2;488
181;1;1;2;3;2;1;1;386
182;1;2;2;2;2;1;2;1325
183;1;2;2;3;2;1;2;657
184;1;1;2;2;2;1;1;729
185;1;1;2;2;2;1;1;369
186;1;1;2;3;2;1;1;569
187;1;3;2;1;2;1;2;464
188;1;2;2;3;2;1;2;1791
189;1;2;2;3;2;1;1;465
190;1;1;2;3;2;1;3;451
191;1;1;2;2;2;1;2;1127
192;1;1;2;2;2;1;1;423
193;1;3;2;2;2;1;2;545
194;1;1;2;1;2;1;2;159
195;1;3;1;2;3;2;1;348
196;1;2;1;3;3;1;1;288
197;1;3;1;1;3;2;1;276
198;1;2;2;1;2;1;2;378
199;1;3;1;1;3;2;1;356
200;1;3;2;3;3;1;1;713
201;1;2;2;1;2;2;1;2314
202;1;3;2;3;1;1;3;464
203;1;2;1;1;2;2;1;371
204;1;3;1;2;3;1;1;294
205;1;1;2;2;2;1;1;527
