,AAPL,ABBV,AMZN,BA,BMY,CAT,CMCSA,COST,CSCO,CVS,F,GE,GOOG,IBM,INTC,JNJ,JPM,MCD,MDT,MMM,MRK,MSFT,NVDA,ORCL,TMUS,TSLA,UNP,V,XOM
AAPL,1.0,0.10328861312185118,0.5174235845508556,0.14663196257594585,0.056257563990752275,0.1703363285163361,0.14879468571336585,0.06010695776004851,0.2038583362909234,0.01971247884658617,0.06782973041652485,0.01176807891578715,0.4950157114448768,-0.020040076480350368,0.3430746849582714,0.040490233130806394,0.20063147937228562,0.18951450757401844,0.16374193733540365,0.14045180724525105,-0.0679299933432651,0.44225623184587753,0.3610882119894912,0.1260190496943323,0.23446060128243684,0.2674113659780833,0.20225569760226916,0.37857804694714203,0.07716668859391601
ABBV,0.10328861312185118,1.0,0.2357714773457657,0.02740847810693562,0.33242539065570115,-0.013564231274541386,-0.059400082066499854,0.0534509369326853,0.13083943338645604,0.06695627773111534,0.04375523450844987,0.05342229829884719,0.24346678557937146,0.2215701584459516,0.13850854845886879,0.3224425288660497,0.05842713043474423,0.1476190047301181,0.26647711969808896,0.14981730074333713,0.08719665687575802,0.2180024157615903,0.05001545929375689,0.2128488189473349,0.12038485633910803,0.06810837954272557,0.07389873123049023,0.21429635136218805,0.13226579307856795
AMZN,0.5174235845508556,0.2357714773457657,1.0,0.1278510968553939,0.004829000578094032,0.1428494978869827,0.05370893218354976,-0.045381803107838244,0.1446607298524505,-0.1904741373550544,-0.10108499370787516,-0.08373718858275865,0.670450065970694,-0.00042617026615060185,0.4234467134442295,0.05432612718655478,0.012036651598600472,0.21200532254716745,0.17429495187749897,0.149629456515361,-0.23787327096459224,0.6177416784695405,0.30939670171022854,0.23282548987678106,0.18145626522144617,0.21276942330679685,0.09046317705729044,0.32745628034572377,0.02629172481257799
BA,0.14663196257594585,0.02740847810693562,0.1278510968553939,1.0,0.03199706767739433,0.24277252269698982,0.0555755521460072,0.024940231334230394,0.14325174618949443,0.04991027863951971,0.1280675626713178,0.18020051281008617,0.19632463655289129,0.13955336418943212,0.1449704054891337,0.026917072288256357,0.24173530292903564,0.055579753209482,0.04881721000382642,0.20312138018846096,0.03218855810718278,0.13975819833667916,0.06766617592643238,0.04485625426329281,0.034224641840137654,0.09681441992690709,0.3169773873738417,0.24524102683732665,0.10481982025504587
BMY,0.056257563990752275,0.33242539065570115,0.004829000578094032,0.03199706767739433,1.0,0.0241964289943912,-0.0654574632895246,0.04203875787742939,0.19613979228644976,0.16540488016319793,0.16485007632694787,0.055574761105474706,0.04362221787489478,-0.07677447288528423,-0.04176745942366623,0.2820265395041027,0.03320529093714378,0.09698612946974158,0.17798309643782553,0.10622168168353097,0.014176448642350346,0.02750830941312738,0.025258004243732375,0.027190934885394567,0.05944045163444188,0.07770023553034187,-0.02770836080733756,0.11417317481040626,-0.09523802484359739
CAT,0.1703363285163361,-0.013564231274541386,0.1428494978869827,0.24277252269698982,0.0241964289943912,1.0,0.0941880291442064,0.056145291702669416,0.24059093508437537,0.13063952992816932,0.26196287649090305,0.09881742835476112,0.11596563066676494,0.13376600773577194,0.20338406199602488,-0.014489740744046912,0.36561419495425723,0.3443696433107376,0.06806651014689387,0.1908939883181508,0.04607228925395108,0.258841686797471,0.22531806756427583,0.0892704026193597,0.20145644241009975,0.11961695717618204,0.3400958249553915,0.18095838571121312,0.301329883686553
CMCSA,0.14879468571336585,-0.059400082066499854,0.05370893218354976,0.0555755521460072,-0.0654574632895246,0.0941880291442064,1.0,0.21062640406896602,0.15778492652351472,0.11199695388149042,0.12576325862950216,0.24422251377818469,0.09073801107848076,0.0783306637883503,0.15862845911258963,-0.015944346813053328,0.29247590686928865,-0.012322691348952364,0.12232355330088712,-0.0032968536571101777,0.11634577184051748,0.1258258626045705,0.05072844106717125,0.018903497199186547,0.1476936765335564,0.09073983763965494,0.25019174756344176,-0.0021989564472034563,0.12735008966797487
COST,0.06010695776004851,0.0534509369326853,-0.045381803107838244,0.024940231334230394,0.04203875787742939,0.056145291702669416,0.21062640406896602,1.0,0.12947608502492391,0.39147841151001633,0.09745626073696712,0.09306024658356443,0.053928322949126715,0.07310938643142635,0.15805591336561453,0.02519599968207492,0.12447871895694236,0.04137560372455359,0.04454253941907758,0.07948280789358675,0.09565188505618037,0.07709542428455254,-0.0010948155988164164,-0.03936127971522925,0.011443026035584105,0.007038746916951752,0.16979572695856804,0.05351040940487943,0.06866286948335083
CSCO,0.2038583362909234,0.13083943338645604,0.1446607298524505,0.14325174618949443,0.19613979228644976,0.24059093508437537,0.15778492652351472,0.12947608502492391,1.0,0.09050176389414069,0.20439295160619372,0.1430802871337215,0.27332120941380816,0.16747094310828503,0.2742720434330672,0.22057077786778728,0.2959391541476031,0.10820806776648233,0.15490603546470888,0.25170824874110004,0.1381047567918562,0.30270556674258003,0.09889375382889884,0.19177082762602882,0.19046569290386714,0.09203955698806691,0.2469777547057241,0.26710008410203345,0.1336468316542312
CVS,0.01971247884658617,0.06695627773111534,-0.1904741373550544,0.04991027863951971,0.16540488016319793,0.13063952992816932,0.11199695388149042,0.39147841151001633,0.09050176389414069,1.0,0.1916175895414809,0.21970212008552545,-0.04221182298462738,0.07878340616773355,-0.055621194325587146,0.07900596883041117,0.16098110604265364,0.043664197245746335,0.14940891261390946,0.0972658615260712,0.14592369843223596,0.04557203767743079,0.023572081120257472,-0.003899905978585787,0.0882043231335946,0.041260405460876476,0.051381902593967604,0.12057942744125473,0.057313759125427674
